Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","Index","68.10722","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","Index","68.425894","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","Index","68.36081","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","Index","68.854375","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","Index","69.069095","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","Index","69.238385","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","Index","69.33711","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","Index","69.124715","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","Index","69.578645","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","Index","69.663305","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","Index","70.068625","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2000","2000","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","Index","70.43622","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","Index","71.255105","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","Index","71.358805","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","Index","71.62248","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","Index","72.509732","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","Index","72.883244","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","Index","72.996518","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","Index","72.822131","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","Index","72.616132","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","Index","72.963888","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","Index","72.584595","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","Index","72.49321","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2001","2001","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","Index","73.07239","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","Index","74.124228","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","Index","73.768404","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","Index","73.783156","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","Index","74.003817","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","Index","73.995938","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","Index","73.849004","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","Index","73.36116","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","Index","72.825795","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","Index","72.973345","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","Index","72.8965","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","Index","72.89729","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2002","2002","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","Index","73.18798","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","Index","74.362435","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","Index","74.188914","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","Index","74.513205","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","Index","74.571257","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","Index","75.119013","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","Index","74.866769","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","Index","74.364525","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","Index","74.362282","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","Index","74.910038","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","Index","74.812929","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","150","Europe","2003","2003","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","Index","75.240915","E","Estimated value","base year is 2015"
